timestamp_utc,gpu_name,gpu_memory_total_mib,gpu_memory_used_mib,gpu_utilization_pct,gpu_memory_utilization_pct,gpu_temperature_c,gpu_power_w,ram_total_mib,ram_used_mib,ram_available_mib,load_1m,disk_available_gib
2026-09-01T08:54:09+00:00,NVIDIA H200 NVL,143771,0,0,0,31,72.59,2063872,52075,1624484,0.64,690
2026-09-01T08:54:39+00:00,NVIDIA H200 NVL,143771,0,0,0,31,72.47,2063872,55341,1621157,1.47,690
2026-09-01T08:55:09+00:00,NVIDIA H200 NVL,143771,0,0,0,31,72.63,2063872,55507,1620747,2.57,690
2026-09-01T08:55:39+00:00,NVIDIA H200 NVL,143771,0,0,0,31,72.46,2063872,55749,1620476,10.19,690
2026-09-01T08:56:09+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.62,2063872,55748,1620231,7.46,690
2026-09-01T08:56:40+00:00,NVIDIA H200 NVL,143771,1021,13,1,32,108.99,2063872,53702,1622183,5.31,690
2026-09-01T08:57:10+00:00,NVIDIA H200 NVL,143771,1021,15,1,33,108.98,2063872,53422,1622464,3.82,690
2026-09-01T08:57:40+00:00,NVIDIA H200 NVL,143771,1021,12,1,34,108.46,2063872,53402,1622484,2.98,690
2026-09-01T08:58:10+00:00,NVIDIA H200 NVL,143771,1021,13,1,34,108.62,2063872,53396,1622490,2.20,690
2026-09-01T08:58:40+00:00,NVIDIA H200 NVL,143771,997,11,1,34,109.02,2063872,53382,1622504,1.83,690
2026-09-01T08:59:10+00:00,NVIDIA H200 NVL,143771,997,12,1,34,109.46,2063872,53385,1622501,1.66,690
2026-09-01T08:59:40+00:00,NVIDIA H200 NVL,143771,997,12,1,34,109.20,2063872,53369,1622517,1.46,690
2026-09-01T09:00:10+00:00,NVIDIA H200 NVL,143771,999,11,1,35,109.27,2063872,53718,1622165,1.55,690
2026-09-01T09:00:40+00:00,NVIDIA H200 NVL,143771,999,13,1,35,109.11,2063872,53403,1622482,1.39,690
2026-09-01T09:01:10+00:00,NVIDIA H200 NVL,143771,999,12,1,35,109.31,2063872,53390,1622495,1.24,690
2026-09-01T09:01:40+00:00,NVIDIA H200 NVL,143771,1001,14,1,35,109.27,2063872,53386,1622499,1.14,690
2026-09-01T09:02:10+00:00,NVIDIA H200 NVL,143771,1001,12,1,35,108.62,2063872,53339,1622546,1.16,690
2026-09-01T09:02:40+00:00,NVIDIA H200 NVL,143771,1001,13,1,35,108.10,2063872,53323,1622562,1.10,690
2026-09-01T09:03:10+00:00,NVIDIA H200 NVL,143771,1001,13,1,35,108.74,2063872,53332,1622553,1.21,690
2026-09-01T09:03:40+00:00,NVIDIA H200 NVL,143771,1005,12,1,35,109.76,2063872,53359,1622526,1.12,690
2026-09-01T09:04:10+00:00,NVIDIA H200 NVL,143771,1005,12,1,35,108.75,2063872,53309,1622575,1.15,690
2026-09-01T09:04:40+00:00,NVIDIA H200 NVL,143771,1005,12,1,35,108.35,2063872,53273,1622611,1.09,690
2026-09-01T09:05:10+00:00,NVIDIA H200 NVL,143771,1005,11,1,35,108.45,2063872,53271,1622613,1.11,690
2026-09-01T09:05:40+00:00,NVIDIA H200 NVL,143771,901,44,1,35,125.63,2063872,53934,1621949,1.38,690
2026-09-01T09:06:11+00:00,NVIDIA H200 NVL,143771,901,42,1,36,124.99,2063872,53679,1622204,1.23,690
2026-09-01T09:06:41+00:00,NVIDIA H200 NVL,143771,901,43,1,36,125.92,2063872,53626,1622257,7.01,690
2026-09-01T09:07:11+00:00,NVIDIA H200 NVL,143771,901,42,1,36,126.29,2063872,53614,1622269,4.64,690
2026-09-01T09:07:41+00:00,NVIDIA H200 NVL,143771,901,40,1,36,124.99,2063872,53595,1622288,7.17,690
2026-09-01T09:08:11+00:00,NVIDIA H200 NVL,143771,901,44,1,36,125.34,2063872,53633,1622250,4.80,690
2026-09-01T09:08:41+00:00,NVIDIA H200 NVL,143771,879,0,0,35,98.67,2063872,53163,1622719,3.77,690
2026-09-01T09:09:11+00:00,NVIDIA H200 NVL,143771,879,0,0,34,98.31,2063872,53352,1622530,2.73,690
2026-09-01T09:09:41+00:00,NVIDIA H200 NVL,143771,879,0,0,34,98.01,2063872,53348,1622534,2.19,690
2026-09-01T09:10:11+00:00,NVIDIA H200 NVL,143771,879,0,0,34,97.97,2063872,53432,1622448,1.87,690
2026-09-01T09:10:41+00:00,NVIDIA H200 NVL,143771,879,0,0,34,97.93,2063872,53351,1622531,1.76,690
2026-09-01T09:11:11+00:00,NVIDIA H200 NVL,143771,879,0,0,33,97.80,2063872,53346,1622535,1.52,690
2026-09-01T09:11:41+00:00,NVIDIA H200 NVL,143771,881,21,0,34,116.21,2063872,54204,1621677,1.66,690
2026-09-01T09:12:11+00:00,NVIDIA H200 NVL,143771,881,21,0,35,116.71,2063872,53973,1621908,2.66,690
2026-09-01T09:12:41+00:00,NVIDIA H200 NVL,143771,881,21,0,35,118.70,2063872,53818,1622063,2.12,690
2026-09-01T09:13:11+00:00,NVIDIA H200 NVL,143771,881,21,0,35,117.31,2063872,53741,1622140,1.80,690
2026-09-01T09:13:41+00:00,NVIDIA H200 NVL,143771,887,20,0,35,117.16,2063872,53738,1622143,1.54,690
2026-09-01T09:14:12+00:00,NVIDIA H200 NVL,143771,863,0,0,34,98.33,2063872,53551,1622330,1.59,690
2026-09-01T09:14:42+00:00,NVIDIA H200 NVL,143771,863,0,0,34,97.94,2063872,53419,1622462,1.41,690
2026-09-01T09:15:12+00:00,NVIDIA H200 NVL,143771,863,0,0,33,97.87,2063872,53384,1622497,1.31,690
2026-09-01T09:15:42+00:00,NVIDIA H200 NVL,143771,863,0,0,33,98.01,2063872,53378,1622502,1.37,690
2026-09-01T09:16:12+00:00,NVIDIA H200 NVL,143771,863,0,0,33,97.76,2063872,53362,1622519,1.22,690
2026-09-01T09:16:42+00:00,NVIDIA H200 NVL,143771,863,0,0,33,97.98,2063872,53398,1622482,1.31,690
2026-09-01T09:17:12+00:00,NVIDIA H200 NVL,143771,863,0,0,33,97.78,2063872,56049,1619775,1.25,690
2026-09-01T09:17:42+00:00,NVIDIA H200 NVL,143771,863,0,0,33,97.72,2063872,56758,1619045,1.60,690
2026-09-01T09:18:12+00:00,NVIDIA H200 NVL,143771,863,0,0,33,97.89,2063872,56854,1618926,1.71,690
2026-09-01T09:18:42+00:00,NVIDIA H200 NVL,143771,863,0,0,33,97.84,2063872,56949,1618805,4.31,689
2026-09-01T09:19:12+00:00,NVIDIA H200 NVL,143771,863,0,0,33,97.70,2063872,56938,1618789,3.26,689
2026-09-01T09:19:42+00:00,NVIDIA H200 NVL,143771,863,0,0,33,97.75,2063872,56933,1618769,7.16,689
2026-09-01T09:20:12+00:00,NVIDIA H200 NVL,143771,863,0,0,33,97.76,2063872,57115,1618561,4.94,689
2026-09-01T09:20:42+00:00,NVIDIA H200 NVL,143771,863,0,0,33,97.86,2063872,57078,1618573,6.39,689
2026-09-01T09:21:12+00:00,NVIDIA H200 NVL,143771,863,0,0,33,97.79,2063872,57008,1618618,4.40,689
2026-09-01T09:21:42+00:00,NVIDIA H200 NVL,143771,863,0,0,33,97.68,2063872,56987,1618613,3.23,689
2026-09-01T09:22:12+00:00,NVIDIA H200 NVL,143771,863,0,0,33,97.54,2063872,57069,1618506,2.55,689
2026-09-01T09:22:42+00:00,NVIDIA H200 NVL,143771,863,0,0,33,97.60,2063872,57203,1618346,2.08,689
2026-09-01T09:23:12+00:00,NVIDIA H200 NVL,143771,863,0,0,33,97.74,2063872,57091,1618431,1.87,689
2026-09-01T09:23:43+00:00,NVIDIA H200 NVL,143771,863,0,0,33,97.86,2063872,57128,1618365,1.67,689
2026-09-01T09:24:13+00:00,NVIDIA H200 NVL,143771,863,0,0,33,97.90,2063872,57285,1618180,1.54,689
2026-09-01T09:24:43+00:00,NVIDIA H200 NVL,143771,863,0,0,33,98.01,2063872,57216,1618220,1.59,689
2026-09-01T09:25:13+00:00,NVIDIA H200 NVL,143771,863,0,0,34,98.04,2063872,57249,1618162,1.49,689
2026-09-01T09:25:43+00:00,NVIDIA H200 NVL,143771,863,0,0,34,97.85,2063872,57316,1618066,1.56,689
2026-09-01T09:26:13+00:00,NVIDIA H200 NVL,143771,863,0,0,35,98.22,2063872,57250,1618104,1.54,689
2026-09-01T09:26:43+00:00,NVIDIA H200 NVL,143771,863,0,0,35,98.17,2063872,57238,1618091,1.61,689
2026-09-01T09:27:13+00:00,NVIDIA H200 NVL,143771,863,0,0,35,98.50,2063872,57316,1617987,2.37,689
2026-09-01T09:27:43+00:00,NVIDIA H200 NVL,143771,863,0,0,35,98.39,2063872,57318,1617955,3.15,689
2026-09-01T09:28:13+00:00,NVIDIA H200 NVL,143771,863,0,0,35,98.32,2063872,57247,1617998,11.56,689
2026-09-01T09:28:43+00:00,NVIDIA H200 NVL,143771,863,0,0,35,98.46,2063872,57106,1618110,8.27,689
2026-09-01T09:29:13+00:00,NVIDIA H200 NVL,143771,863,0,0,35,98.50,2063872,57179,1618020,5.86,689
2026-09-01T09:29:43+00:00,NVIDIA H200 NVL,143771,863,0,0,35,98.39,2063872,57214,1617970,4.41,689
2026-09-01T09:30:13+00:00,NVIDIA H200 NVL,143771,863,0,0,34,98.10,2063872,57324,1617842,3.66,689
2026-09-01T09:30:43+00:00,NVIDIA H200 NVL,143771,863,0,0,34,98.24,2063872,57273,1617875,3.15,689
2026-09-01T09:31:13+00:00,NVIDIA H200 NVL,143771,863,0,0,34,98.13,2063872,56809,1618329,2.49,689
2026-09-01T09:31:43+00:00,NVIDIA H200 NVL,143771,863,0,0,34,98.25,2063872,57210,1617903,2.10,689
2026-09-01T09:32:13+00:00,NVIDIA H200 NVL,143771,863,0,0,34,98.15,2063872,57154,1617939,2.17,689
2026-09-01T09:32:43+00:00,NVIDIA H200 NVL,143771,863,0,0,34,98.15,2063872,57245,1617826,2.13,689
2026-09-01T09:33:14+00:00,NVIDIA H200 NVL,143771,863,0,0,34,98.02,2063872,57246,1617808,2.01,689
2026-09-01T09:33:44+00:00,NVIDIA H200 NVL,143771,863,0,0,34,98.10,2063872,57301,1617732,1.86,689
2026-09-01T09:34:14+00:00,NVIDIA H200 NVL,143771,863,0,0,34,98.03,2063872,57274,1617736,1.80,689
2026-09-01T09:34:44+00:00,NVIDIA H200 NVL,143771,863,0,0,34,97.99,2063872,57236,1617752,1.74,689
2026-09-01T09:35:14+00:00,NVIDIA H200 NVL,143771,863,0,0,34,97.99,2063872,57240,1617725,1.97,689
2026-09-01T09:35:44+00:00,NVIDIA H200 NVL,143771,863,0,0,34,97.99,2063872,57220,1617722,2.05,689
2026-09-01T09:36:14+00:00,NVIDIA H200 NVL,143771,863,0,0,34,97.98,2063872,57228,1617692,2.27,689
2026-09-01T09:36:44+00:00,NVIDIA H200 NVL,143771,863,0,0,34,97.91,2063872,57282,1617618,1.95,689
2026-09-01T09:37:14+00:00,NVIDIA H200 NVL,143771,863,0,0,34,97.81,2063872,57279,1617606,2.08,689
2026-09-01T09:37:44+00:00,NVIDIA H200 NVL,143771,863,0,0,34,97.86,2063872,57287,1617581,2.22,689
2026-09-01T09:38:14+00:00,NVIDIA H200 NVL,143771,863,0,0,34,97.94,2063872,57296,1617556,2.27,689
2026-09-01T09:38:45+00:00,NVIDIA H200 NVL,143771,997,12,1,34,108.68,2063872,53503,1621339,2.31,689
2026-09-01T09:39:15+00:00,NVIDIA H200 NVL,143771,997,13,1,34,108.60,2063872,53469,1621374,9.23,689
2026-09-01T09:39:45+00:00,NVIDIA H200 NVL,143771,1001,12,1,35,108.88,2063872,53422,1621420,6.11,689
2026-09-01T09:40:15+00:00,NVIDIA H200 NVL,143771,1003,13,1,35,110.47,2063872,53507,1621333,4.31,689
2026-09-01T09:40:45+00:00,NVIDIA H200 NVL,143771,1005,13,1,35,108.52,2063872,53416,1621426,4.31,689
2026-09-01T09:41:15+00:00,NVIDIA H200 NVL,143771,1005,13,1,35,109.58,2063872,53369,1621472,3.47,689
2026-09-01T09:41:45+00:00,NVIDIA H200 NVL,143771,1007,14,1,35,109.55,2063872,53325,1621516,2.50,689
2026-09-01T09:42:15+00:00,NVIDIA H200 NVL,143771,1007,0,0,34,98.36,2063872,53563,1621278,2.47,689
2026-09-01T09:42:45+00:00,NVIDIA H200 NVL,143771,903,43,1,36,125.05,2063872,53392,1621449,1.89,689
2026-09-01T09:43:15+00:00,NVIDIA H200 NVL,143771,903,43,1,36,125.27,2063872,53303,1621538,1.71,689
2026-09-01T09:43:45+00:00,NVIDIA H200 NVL,143771,903,0,0,34,98.31,2063872,53349,1621492,1.86,689
2026-09-01T09:44:15+00:00,NVIDIA H200 NVL,143771,903,0,0,34,97.93,2063872,53253,1621588,1.60,689
2026-09-01T09:44:45+00:00,NVIDIA H200 NVL,143771,903,0,0,33,97.86,2063872,55369,1619471,1.66,689
2026-09-01T09:45:15+00:00,NVIDIA H200 NVL,143771,883,20,0,35,116.48,2063872,53342,1621498,1.53,689
2026-09-01T09:45:45+00:00,NVIDIA H200 NVL,143771,883,6,0,35,107.10,2063872,53076,1621764,2.08,689
2026-09-01T09:46:15+00:00,NVIDIA H200 NVL,143771,883,0,0,34,98.28,2063872,53328,1621512,2.19,689
2026-09-01T09:46:45+00:00,NVIDIA H200 NVL,143771,883,0,0,34,98.11,2063872,53275,1621565,1.78,689
2026-09-01T09:47:15+00:00,NVIDIA H200 NVL,143771,883,0,0,33,97.93,2063872,55671,1619114,1.79,689
2026-09-01T09:47:46+00:00,NVIDIA H200 NVL,143771,883,0,0,34,98.02,2063872,56895,1617876,1.76,689
2026-09-01T09:48:16+00:00,NVIDIA H200 NVL,143771,883,0,0,34,98.02,2063872,57068,1617665,1.93,689
2026-09-01T09:48:46+00:00,NVIDIA H200 NVL,143771,883,0,0,34,98.20,2063872,57089,1617605,2.20,689
2026-09-01T09:49:16+00:00,NVIDIA H200 NVL,143771,883,0,0,34,98.29,2063872,57100,1617558,2.21,688
2026-09-01T09:49:46+00:00,NVIDIA H200 NVL,143771,883,0,0,35,98.19,2063872,57122,1617491,2.12,688
2026-09-01T09:50:16+00:00,NVIDIA H200 NVL,143771,883,0,0,35,98.76,2063872,57218,1617347,2.35,688
2026-09-01T09:50:46+00:00,NVIDIA H200 NVL,143771,883,0,0,35,98.44,2063872,57085,1617445,2.50,688
2026-09-01T09:51:16+00:00,NVIDIA H200 NVL,143771,883,0,0,35,98.51,2063872,57221,1617282,2.92,688
2026-09-01T09:51:46+00:00,NVIDIA H200 NVL,143771,883,0,0,35,98.50,2063872,57182,1617295,3.40,688
2026-09-01T09:52:16+00:00,NVIDIA H200 NVL,143771,883,0,0,35,98.55,2063872,57123,1617322,3.71,688
2026-09-01T09:52:46+00:00,NVIDIA H200 NVL,143771,883,0,0,35,98.43,2063872,57046,1617374,3.55,688
2026-09-01T09:53:16+00:00,NVIDIA H200 NVL,143771,883,0,0,34,98.12,2063872,57261,1617128,3.05,688
2026-09-01T09:53:46+00:00,NVIDIA H200 NVL,143771,883,0,0,34,98.26,2063872,57408,1616946,2.66,688
2026-09-01T09:54:16+00:00,NVIDIA H200 NVL,143771,883,0,0,34,98.23,2063872,57521,1616801,2.78,688
2026-09-01T09:54:46+00:00,NVIDIA H200 NVL,143771,883,0,0,34,98.37,2063872,57322,1616968,2.47,688
2026-09-01T09:55:16+00:00,NVIDIA H200 NVL,143771,883,0,0,34,98.04,2063872,57238,1617026,2.63,688
2026-09-01T09:55:46+00:00,NVIDIA H200 NVL,143771,1017,15,1,35,110.57,2063872,53335,1620918,2.33,688
2026-09-01T09:56:16+00:00,NVIDIA H200 NVL,143771,1003,13,1,35,107.74,2063872,53313,1620939,1.88,688
2026-09-01T09:56:46+00:00,NVIDIA H200 NVL,143771,1007,12,1,35,109.35,2063872,53281,1620971,1.53,688
2026-09-01T09:57:17+00:00,NVIDIA H200 NVL,143771,1007,41,1,36,124.36,2063872,53702,1620550,1.62,688
2026-09-01T09:57:47+00:00,NVIDIA H200 NVL,143771,903,0,0,36,108.42,2063872,53383,1620870,1.37,688
2026-09-01T09:58:17+00:00,NVIDIA H200 NVL,143771,903,0,0,35,98.24,2063872,53356,1620896,1.64,688
2026-09-01T09:58:47+00:00,NVIDIA H200 NVL,143771,881,20,0,35,116.16,2063872,53572,1620680,1.71,688
2026-09-01T09:59:17+00:00,NVIDIA H200 NVL,143771,881,0,0,35,98.65,2063872,53595,1620656,1.96,688
2026-09-01T09:59:47+00:00,NVIDIA H200 NVL,143771,881,0,0,34,98.34,2063872,53297,1620955,2.03,688
2026-09-01T10:00:17+00:00,NVIDIA H200 NVL,143771,881,0,0,34,98.43,2063872,56356,1617836,2.83,688
2026-09-01T10:00:47+00:00,NVIDIA H200 NVL,143771,881,0,0,34,98.26,2063872,57191,1616976,2.45,688
2026-09-01T10:01:17+00:00,NVIDIA H200 NVL,143771,881,0,0,34,98.39,2063872,57139,1616990,2.27,688
2026-09-01T10:01:48+00:00,NVIDIA H200 NVL,143771,881,0,0,34,97.93,2063872,57185,1616905,2.16,688
2026-09-01T10:02:18+00:00,NVIDIA H200 NVL,143771,881,0,0,34,97.88,2063872,57201,1616850,2.10,688
2026-09-01T10:02:48+00:00,NVIDIA H200 NVL,143771,881,0,0,34,98.02,2063872,57271,1616735,2.18,688
2026-09-01T10:03:18+00:00,NVIDIA H200 NVL,143771,881,0,0,34,98.06,2063872,57251,1616712,1.97,688
2026-09-01T10:03:48+00:00,NVIDIA H200 NVL,143771,881,0,0,34,97.99,2063872,57364,1616570,2.36,688
2026-09-01T10:04:18+00:00,NVIDIA H200 NVL,143771,881,0,0,34,98.02,2063872,57362,1616544,3.81,688
2026-09-01T10:04:48+00:00,NVIDIA H200 NVL,143771,881,0,0,34,97.78,2063872,57113,1616762,3.95,688
2026-09-01T10:05:18+00:00,NVIDIA H200 NVL,143771,881,0,0,34,97.87,2063872,57098,1616747,3.88,688
2026-09-01T10:05:48+00:00,NVIDIA H200 NVL,143771,881,0,0,34,97.99,2063872,57208,1616611,3.59,688
2026-09-01T10:06:18+00:00,NVIDIA H200 NVL,143771,881,0,0,34,98.06,2063872,57451,1616336,2.96,688
2026-09-01T10:06:48+00:00,NVIDIA H200 NVL,143771,881,0,0,34,97.96,2063872,56834,1616918,2.80,688
2026-09-01T10:07:18+00:00,NVIDIA H200 NVL,143771,881,0,0,34,97.78,2063872,57344,1616377,2.68,688
2026-09-01T10:07:48+00:00,NVIDIA H200 NVL,143771,881,0,0,34,97.91,2063872,57352,1616340,2.70,688
2026-09-01T10:08:18+00:00,NVIDIA H200 NVL,143771,881,0,0,34,97.98,2063872,57114,1616553,2.77,688
2026-09-01T10:08:48+00:00,NVIDIA H200 NVL,143771,1019,13,1,34,109.95,2063872,53383,1620282,2.30,688
2026-09-01T10:09:18+00:00,NVIDIA H200 NVL,143771,1021,12,1,35,108.61,2063872,53283,1620381,1.83,688
2026-09-01T10:09:48+00:00,NVIDIA H200 NVL,143771,1025,13,1,35,110.66,2063872,53297,1620368,1.50,688
2026-09-01T10:10:18+00:00,NVIDIA H200 NVL,143771,1025,0,0,34,98.33,2063872,53403,1620259,1.66,688
2026-09-01T10:10:49+00:00,NVIDIA H200 NVL,143771,1025,43,1,36,125.62,2063872,53272,1620391,1.51,688
2026-09-01T10:11:19+00:00,NVIDIA H200 NVL,143771,1025,0,0,34,98.45,2063872,53314,1620349,1.48,688
2026-09-01T10:11:49+00:00,NVIDIA H200 NVL,143771,1025,20,0,35,116.25,2063872,53541,1620122,1.49,688
2026-09-01T10:12:19+00:00,NVIDIA H200 NVL,143771,1025,0,0,34,98.31,2063872,55510,1618153,1.66,688
2026-09-01T10:12:49+00:00,NVIDIA H200 NVL,143771,1025,0,0,34,98.12,2063872,53396,1620267,1.46,688
2026-09-01T10:13:19+00:00,NVIDIA H200 NVL,143771,1025,0,0,34,98.13,2063872,56086,1617520,2.07,687
2026-09-01T10:13:49+00:00,NVIDIA H200 NVL,143771,1025,0,0,34,98.10,2063872,57084,1616499,2.18,687
2026-09-01T10:14:19+00:00,NVIDIA H200 NVL,143771,1025,0,0,33,97.76,2063872,57149,1616397,2.11,687
2026-09-01T10:14:49+00:00,NVIDIA H200 NVL,143771,1025,0,0,34,97.99,2063872,57193,1616315,2.32,687
2026-09-01T10:15:19+00:00,NVIDIA H200 NVL,143771,1025,0,0,34,97.73,2063872,57260,1616211,2.13,687
2026-09-01T10:15:49+00:00,NVIDIA H200 NVL,143771,1025,0,0,33,97.92,2063872,57148,1616278,2.08,687
2026-09-01T10:16:19+00:00,NVIDIA H200 NVL,143771,1025,0,0,33,97.92,2063872,57203,1616179,2.12,687
2026-09-01T10:16:49+00:00,NVIDIA H200 NVL,143771,1025,0,0,33,97.69,2063872,57048,1616302,2.45,687
2026-09-01T10:17:19+00:00,NVIDIA H200 NVL,143771,1025,0,0,33,97.97,2063872,57422,1615902,3.06,687
2026-09-01T10:17:49+00:00,NVIDIA H200 NVL,143771,1025,0,0,33,97.97,2063872,57407,1615892,3.43,687
2026-09-01T10:18:19+00:00,NVIDIA H200 NVL,143771,1025,0,0,33,97.72,2063872,57336,1615931,7.43,687
2026-09-01T10:18:49+00:00,NVIDIA H200 NVL,143771,1025,0,0,33,97.70,2063872,57190,1616050,5.81,687
2026-09-01T10:19:19+00:00,NVIDIA H200 NVL,143771,1025,0,0,33,97.85,2063872,57414,1615793,4.43,687
2026-09-01T10:19:49+00:00,NVIDIA H200 NVL,143771,1025,0,0,33,97.96,2063872,57209,1615966,15.73,687
2026-09-01T10:20:20+00:00,NVIDIA H200 NVL,143771,1025,0,0,33,97.88,2063872,57022,1616120,16.71,687
2026-09-01T10:20:50+00:00,NVIDIA H200 NVL,143771,1025,0,0,33,97.78,2063872,57203,1615906,10.92,687
2026-09-01T10:21:20+00:00,NVIDIA H200 NVL,143771,1025,0,0,33,97.71,2063872,57060,1616025,8.14,687
2026-09-01T10:21:50+00:00,NVIDIA H200 NVL,143771,1025,10,1,34,107.83,2063872,53233,1619847,5.43,687
2026-09-01T10:22:20+00:00,NVIDIA H200 NVL,143771,1025,12,1,34,108.72,2063872,53237,1619843,3.74,687
2026-09-01T10:22:50+00:00,NVIDIA H200 NVL,143771,1025,5,0,35,109.90,2063872,53355,1619725,2.81,687
2026-09-01T10:23:20+00:00,NVIDIA H200 NVL,143771,1025,0,0,34,98.21,2063872,53438,1619642,2.34,687
2026-09-01T10:23:50+00:00,NVIDIA H200 NVL,143771,1025,42,1,36,123.23,2063872,53323,1619757,1.81,687
2026-09-01T10:24:20+00:00,NVIDIA H200 NVL,143771,1025,0,0,34,98.22,2063872,53484,1619595,1.78,687
2026-09-01T10:24:50+00:00,NVIDIA H200 NVL,143771,1025,19,0,34,115.92,2063872,53754,1619325,1.93,687
2026-09-01T10:25:20+00:00,NVIDIA H200 NVL,143771,1025,0,0,34,98.55,2063872,54223,1618856,1.56,687
2026-09-01T10:25:50+00:00,NVIDIA H200 NVL,143771,1025,0,0,34,98.15,2063872,53239,1619840,1.65,687
2026-09-01T10:26:20+00:00,NVIDIA H200 NVL,143771,1025,0,0,34,97.91,2063872,53901,1619178,3.24,687
2026-09-01T10:26:50+00:00,NVIDIA H200 NVL,143771,1025,0,0,34,97.81,2063872,56131,1616947,3.13,687
2026-09-01T10:27:20+00:00,NVIDIA H200 NVL,143771,1017,13,1,34,110.64,2063872,54909,1618168,2.43,687
2026-09-01T10:27:50+00:00,NVIDIA H200 NVL,143771,1017,12,1,35,109.52,2063872,54803,1618275,1.95,687
2026-09-01T10:28:20+00:00,NVIDIA H200 NVL,143771,1017,12,1,35,110.30,2063872,54751,1618327,1.63,687
2026-09-01T10:28:50+00:00,NVIDIA H200 NVL,143771,1017,12,1,35,109.42,2063872,54733,1618345,1.56,687
2026-09-01T10:29:21+00:00,NVIDIA H200 NVL,143771,1017,0,0,34,98.32,2063872,53627,1619450,1.58,687
2026-09-01T10:29:51+00:00,NVIDIA H200 NVL,143771,1017,0,0,34,97.99,2063872,54700,1618376,1.74,687
2026-09-01T10:30:21+00:00,NVIDIA H200 NVL,143771,905,42,1,35,124.52,2063872,54733,1618341,2.06,687
2026-09-01T10:30:51+00:00,NVIDIA H200 NVL,143771,905,43,1,36,124.99,2063872,54645,1618430,1.64,687
2026-09-01T10:31:21+00:00,NVIDIA H200 NVL,143771,905,0,0,34,98.54,2063872,53856,1619218,1.88,687
2026-09-01T10:31:51+00:00,NVIDIA H200 NVL,143771,905,0,0,34,98.06,2063872,56174,1616900,2.21,687
2026-09-01T10:32:21+00:00,NVIDIA H200 NVL,143771,905,0,0,34,98.29,2063872,54328,1618746,1.73,687
2026-09-01T10:32:52+00:00,NVIDIA H200 NVL,143771,905,0,0,34,98.24,2063872,54122,1618952,5.35,687
2026-09-01T10:33:22+00:00,NVIDIA H200 NVL,143771,905,0,0,34,98.03,2063872,54107,1618967,3.63,687
2026-09-01T10:33:52+00:00,NVIDIA H200 NVL,143771,905,0,0,34,98.02,2063872,54088,1618985,2.59,687
2026-09-01T10:34:22+00:00,NVIDIA H200 NVL,143771,905,0,0,34,97.93,2063872,54077,1618997,2.04,687
2026-09-01T10:34:52+00:00,NVIDIA H200 NVL,143771,905,0,0,34,97.98,2063872,54073,1619001,8.70,687
2026-09-01T10:35:22+00:00,NVIDIA H200 NVL,143771,905,0,0,34,98.00,2063872,54070,1619004,5.79,687
2026-09-01T10:35:52+00:00,NVIDIA H200 NVL,143771,905,0,0,34,97.97,2063872,54062,1619012,4.06,687
2026-09-01T10:36:22+00:00,NVIDIA H200 NVL,143771,905,0,0,34,98.01,2063872,54065,1619009,2.91,687
2026-09-01T10:36:52+00:00,NVIDIA H200 NVL,143771,905,0,0,34,98.00,2063872,54058,1619016,2.16,687
2026-09-01T10:37:22+00:00,NVIDIA H200 NVL,143771,905,0,0,34,97.97,2063872,53823,1619250,2.35,687
2026-09-01T10:37:52+00:00,NVIDIA H200 NVL,143771,905,0,0,34,98.05,2063872,56254,1616818,2.32,687
2026-09-01T10:38:22+00:00,NVIDIA H200 NVL,143771,881,20,0,35,115.95,2063872,54887,1618186,1.95,687
2026-09-01T10:38:52+00:00,NVIDIA H200 NVL,143771,881,0,0,34,98.14,2063872,55968,1617103,1.82,687
2026-09-01T10:39:22+00:00,NVIDIA H200 NVL,143771,881,0,0,34,98.35,2063872,54281,1618790,2.49,687
2026-09-01T10:39:52+00:00,NVIDIA H200 NVL,143771,881,0,0,34,98.31,2063872,54430,1618641,2.15,687
2026-09-01T10:40:22+00:00,NVIDIA H200 NVL,143771,881,0,0,34,98.28,2063872,54203,1618866,1.88,687
2026-09-01T10:40:52+00:00,NVIDIA H200 NVL,143771,881,0,0,34,97.89,2063872,54146,1618925,2.07,687
2026-09-01T10:41:22+00:00,NVIDIA H200 NVL,143771,881,0,0,34,97.97,2063872,54125,1618945,1.65,687
2026-09-01T10:41:52+00:00,NVIDIA H200 NVL,143771,881,0,0,34,98.04,2063872,54072,1618998,1.72,687
2026-09-01T10:42:23+00:00,NVIDIA H200 NVL,143771,881,0,0,34,97.79,2063872,54060,1619010,1.43,687
2026-09-01T10:42:53+00:00,NVIDIA H200 NVL,143771,881,0,0,33,98.01,2063872,54058,1619012,1.51,687
2026-09-01T10:43:23+00:00,NVIDIA H200 NVL,143771,881,0,0,33,97.78,2063872,54047,1619023,1.37,687
2026-09-01T10:43:53+00:00,NVIDIA H200 NVL,143771,881,0,0,33,97.91,2063872,54039,1619031,1.22,687
2026-09-01T10:44:23+00:00,NVIDIA H200 NVL,143771,881,0,0,33,97.91,2063872,54032,1619039,1.13,687
2026-09-01T10:44:53+00:00,NVIDIA H200 NVL,143771,881,0,0,33,97.75,2063872,53516,1619553,1.30,687
